Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Not Hispanic or Latino,Hispanic or Latino,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Two or More Races Including Some Other Race,"Two or More Races Excluding Some Other Race, and Three or More Races"
08518,5217.0,41.5,74286.0,33963.0,170.0,3.258577726662833,4928.0,289.0,3774.0,755.0,0.0,439.0,0.0,148.0,101.0,13.0,88.0
08520,27468.0,37.4,90293.0,37175.0,1834.0,6.6768603465851175,20887.0,6581.0,18000.0,1428.0,79.0,4117.0,17.0,2993.0,834.0,296.0,538.0
08525,4782.0,47.1,118656.0,59848.0,43.0,0.8992053534086156,4717.0,65.0,4481.0,142.0,0.0,108.0,0.0,1.0,50.0,3.0,47.0
08527,54867.0,42.2,88588.0,37021.0,2191.0,3.9932928718537553,50112.0,4755.0,48726.0,2807.0,23.0,1569.0,41.0,505.0,1196.0,334.0,862.0
08528,245.0,48.5,58676.0,49117.0,0.0,0.0,245.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08530,7568.0,43.8,87396.0,46371.0,249.0,3.290169133192389,6911.0,657.0,6289.0,535.0,8.0,209.0,0.0,507.0,20.0,0.0,20.0
08533,6789.0,41.0,85301.0,30981.0,459.0,6.760936809544852,6375.0,414.0,6433.0,175.0,0.0,20.0,0.0,23.0,138.0,0.0,138.0
08534,13312.0,44.1,144250.0,66609.0,339.0,2.546574519230769,12802.0,510.0,11113.0,467.0,0.0,1338.0,0.0,155.0,239.0,0.0,239.0
08535,5657.0,43.5,147853.0,59097.0,127.0,2.245006187024925,5637.0,20.0,4854.0,244.0,0.0,316.0,0.0,0.0,243.0,0.0,243.0
08536,19944.0,34.0,90089.0,46406.0,673.0,3.3744484556758927,18783.0,1161.0,7645.0,1096.0,73.0,9685.0,0.0,843.0,602.0,146.0,456.0
08540,47316.0,37.5,125439.0,61810.0,1969.0,4.161383041677234,44713.0,2603.0,30208.0,2031.0,66.0,13066.0,50.0,784.0,1111.0,81.0,1030.0
