County,State,Date,Total Labor,Employed,Unemployed,Rate
Allen County,KS,Jun-19,6654,6366,288,4.3
Anderson County,KS,Jun-19,4253,4116,137,3.2
Atchison County,KS,Jun-19,7062,6642,420,5.9
Barber County,KS,Jun-19,2365,2313,52,2.2
Barton County,KS,Jun-19,13600,13196,404,3
Bourbon County,KS,Jun-19,6793,6485,308,4.5
Brown County,KS,Jun-19,5406,5227,179,3.3
Butler County,KS,Jun-19,32804,31684,1120,3.4
Chase County,KS,Jun-19,1627,1591,36,2.2
Chautauqua County,KS,Jun-19,1477,1413,64,4.3
Cherokee County,KS,Jun-19,10255,9823,432,4.2
Cheyenne County,KS,Jun-19,1320,1286,34,2.6
Clark County,KS,Jun-19,1072,1046,26,2.4
Clay County,KS,Jun-19,3856,3723,133,3.4
Cloud County,KS,Jun-19,3853,3726,127,3.3
Coffey County,KS,Jun-19,3998,3803,195,4.9
Comanche County,KS,Jun-19,899,877,22,2.4
Cowley County,KS,Jun-19,16242,15659,583,3.6
Crawford County,KS,Jun-19,18992,18200,792,4.2
Decatur County,KS,Jun-19,1233,1195,38,3.1
Dickinson County,KS,Jun-19,8948,8562,386,4.3
Doniphan County,KS,Jun-19,4206,4045,161,3.8
Douglas County,KS,Jun-19,62085,60098,1987,3.2
Edwards County,KS,Jun-19,1487,1451,36,2.4
Elk County,KS,Jun-19,1181,1131,50,4.2
Ellis County,KS,Jun-19,17310,16894,416,2.4
Ellsworth County,KS,Jun-19,2837,2755,82,2.9
Finney County,KS,Jun-19,20729,20206,523,2.5
Ford County,KS,Jun-19,16776,16354,422,2.5
Franklin County,KS,Jun-19,14197,13684,513,3.6
Geary County,KS,Jun-19,11344,10793,551,4.9
Gove County,KS,Jun-19,1479,1453,26,1.8
Graham County,KS,Jun-19,1105,1073,32,2.9
Grant County,KS,Jun-19,3240,3141,99,3.1
Gray County,KS,Jun-19,3225,3163,62,1.9
Greeley County,KS,Jun-19,800,782,18,2.3
Greenwood County,KS,Jun-19,3262,3153,109,3.3
Hamilton County,KS,Jun-19,1571,1541,30,1.9
Harper County,KS,Jun-19,2970,2896,74,2.5
Harvey County,KS,Jun-19,17108,16603,505,3
Haskell County,KS,Jun-19,2237,2181,56,2.5
Hodgeman County,KS,Jun-19,994,970,24,2.4
Jackson County,KS,Jun-19,7307,7100,207,2.8
Jefferson County,KS,Jun-19,10272,9970,302,2.9
Jewell County,KS,Jun-19,1318,1282,36,2.7
Johnson County,KS,Jun-19,343911,334425,9486,2.8
Kearny County,KS,Jun-19,2076,2028,48,2.3
Kingman County,KS,Jun-19,3414,3307,107,3.1
Kiowa County,KS,Jun-19,1283,1253,30,2.3
Labette County,KS,Jun-19,10264,9733,531,5.2
Lane County,KS,Jun-19,764,746,18,2.4
Leavenworth County,KS,Jun-19,36968,35756,1212,3.3
Lincoln County,KS,Jun-19,1635,1599,36,2.2
Linn County,KS,Jun-19,4460,4209,251,5.6
Logan County,KS,Jun-19,1680,1648,32,1.9
Lyon County,KS,Jun-19,16910,16311,599,3.5
McPherson County,KS,Jun-19,17418,17028,390,2.2
Marion County,KS,Jun-19,6045,5850,195,3.2
Marshall County,KS,Jun-19,5571,5408,163,2.9
Meade County,KS,Jun-19,2179,2125,54,2.5
Miami County,KS,Jun-19,17695,17144,551,3.1
Mitchell County,KS,Jun-19,3404,3318,86,2.5
Montgomery County,KS,Jun-19,15168,14513,655,4.3
Morris County,KS,Jun-19,3038,2964,74,2.4
Morton County,KS,Jun-19,1150,1118,32,2.8
Nemaha County,KS,Jun-19,5442,5285,157,2.9
Neosho County,KS,Jun-19,6247,5913,334,5.3
Ness County,KS,Jun-19,1353,1323,30,2.2
Norton County,KS,Jun-19,2742,2680,62,2.3
Osage County,KS,Jun-19,8083,7818,265,3.3
Osborne County,KS,Jun-19,2061,2023,38,1.8
Ottawa County,KS,Jun-19,3031,2941,90,3
Pawnee County,KS,Jun-19,2846,2764,82,2.9
Phillips County,KS,Jun-19,2710,2642,68,2.5
Pottawatomie County,KS,Jun-19,11686,11338,348,3
Pratt County,KS,Jun-19,5007,4874,133,2.7
Rawlins County,KS,Jun-19,1494,1462,32,2.1
Reno County,KS,Jun-19,30158,29215,943,3.1
Republic County,KS,Jun-19,2249,2191,58,2.6
Rice County,KS,Jun-19,5306,5153,153,2.9
Riley County,KS,Jun-19,33050,32041,1009,3.1
Rooks County,KS,Jun-19,2583,2470,113,4.4
Rush County,KS,Jun-19,1636,1590,46,2.8
Russell County,KS,Jun-19,3360,3255,105,3.1
Saline County,KS,Jun-19,30134,29149,985,3.3
Scott County,KS,Jun-19,2810,2754,56,2
Sedgwick County,KS,Jun-19,253688,244713,8975,3.5
Seward County,KS,Jun-19,9418,9100,318,3.4
Shawnee County,KS,Jun-19,92458,89454,3004,3.2
Sheridan County,KS,Jun-19,1417,1389,28,2
Sherman County,KS,Jun-19,2859,2785,74,2.6
Smith County,KS,Jun-19,2011,1955,56,2.8
Stafford County,KS,Jun-19,1996,1936,60,3
Stanton County,KS,Jun-19,1024,996,28,2.7
Stevens County,KS,Jun-19,2556,2492,64,2.5
Sumner County,KS,Jun-19,10985,10583,402,3.7
Thomas County,KS,Jun-19,4269,4166,103,2.4
Trego County,KS,Jun-19,1422,1388,34,2.4
Wabaunsee County,KS,Jun-19,3696,3573,123,3.3
Wallace County,KS,Jun-19,813,791,22,2.7
Washington County,KS,Jun-19,2942,2858,84,2.9
Wichita County,KS,Jun-19,1671,1645,26,1.6
Wilson County,KS,Jun-19,4029,3862,167,4.1
Woodson County,KS,Jun-19,1689,1617,72,4.3
Wyandotte County,KS,Jun-19,78467,75077,3390,4.3
Adair County,MO,Jun-19,10318,9817,501,4.9
Andrew County,MO,Jun-19,9845,9541,304,3.1
Atchison County,MO,Jun-19,2686,2546,140,5.2
Audrain County,MO,Jun-19,10711,10319,392,3.7
Barry County,MO,Jun-19,15557,15071,486,3.1
Barton County,MO,Jun-19,5206,4996,210,4
Bates County,MO,Jun-19,7917,7564,353,4.5
Benton County,MO,Jun-19,7306,6958,348,4.8
Bollinger County,MO,Jun-19,5501,5254,247,4.5
Boone County,MO,Jun-19,96112,93576,2536,2.6
Buchanan County,MO,Jun-19,45171,43764,1407,3.1
Butler County,MO,Jun-19,18287,17105,1182,6.5
Caldwell County,MO,Jun-19,4349,4206,143,3.3
Callaway County,MO,Jun-19,21527,20848,679,3.2
Camden County,MO,Jun-19,20392,19698,694,3.4
Cape Girardeau County,MO,Jun-19,41220,39927,1293,3.1
Carroll County,MO,Jun-19,4572,4413,159,3.5
Carter County,MO,Jun-19,2613,2466,147,5.6
Cass County,MO,Jun-19,55362,53663,1699,3.1
Cedar County,MO,Jun-19,5781,5547,234,4
Chariton County,MO,Jun-19,3707,3581,126,3.4
Christian County,MO,Jun-19,44989,43786,1203,2.7
Clark County,MO,Jun-19,3254,3123,131,4
Clay County,MO,Jun-19,137948,134061,3887,2.8
Clinton County,MO,Jun-19,10776,10455,321,3
Cole County,MO,Jun-19,39369,38289,1080,2.7
Cooper County,MO,Jun-19,7476,7205,271,3.6
Crawford County,MO,Jun-19,11201,10775,426,3.8
Dade County,MO,Jun-19,3572,3456,116,3.2
Dallas County,MO,Jun-19,6986,6705,281,4
Daviess County,MO,Jun-19,4123,3998,125,3
DeKalb County,MO,Jun-19,4838,4683,155,3.2
Dent County,MO,Jun-19,6410,6166,244,3.8
Douglas County,MO,Jun-19,5067,4862,205,4
Dunklin County,MO,Jun-19,11739,11023,716,6.1
Franklin County,MO,Jun-19,53541,51880,1661,3.1
Gasconade County,MO,Jun-19,7767,7547,220,2.8
Gentry County,MO,Jun-19,3566,3452,114,3.2
Greene County,MO,Jun-19,151710,147657,4053,2.7
Grundy County,MO,Jun-19,4315,4163,152,3.5
Harrison County,MO,Jun-19,3759,3653,106,2.8
Henry County,MO,Jun-19,9860,9437,423,4.3
Hickory County,MO,Jun-19,3956,3802,154,3.9
Holt County,MO,Jun-19,2597,2498,99,3.8
Howard County,MO,Jun-19,4832,4672,160,3.3
Howell County,MO,Jun-19,16583,15909,674,4.1
Iron County,MO,Jun-19,3615,3439,176,4.9
Jackson County,MO,Jun-19,367535,353695,13840,3.8
Jasper County,MO,Jun-19,57128,55342,1786,3.1
Jefferson County,MO,Jun-19,119201,115525,3676,3.1
Johnson County,MO,Jun-19,23196,22304,892,3.8
Knox County,MO,Jun-19,1751,1693,58,3.3
Laclede County,MO,Jun-19,17178,16482,696,4.1
Lafayette County,MO,Jun-19,16911,16374,537,3.2
Lawrence County,MO,Jun-19,18071,17462,609,3.4
Lewis County,MO,Jun-19,5008,4851,157,3.1
Lincoln County,MO,Jun-19,28627,27660,967,3.4
Linn County,MO,Jun-19,5197,4931,266,5.1
Livingston County,MO,Jun-19,7411,7242,169,2.3
McDonald County,MO,Jun-19,10628,10205,423,4
Macon County,MO,Jun-19,7558,7314,244,3.2
Madison County,MO,Jun-19,5494,5296,198,3.6
Maries County,MO,Jun-19,3905,3762,143,3.7
Marion County,MO,Jun-19,14661,14173,488,3.3
Mercer County,MO,Jun-19,1819,1766,53,2.9
Miller County,MO,Jun-19,12836,12418,418,3.3
Mississippi County,MO,Jun-19,5828,5548,280,4.8
Moniteau County,MO,Jun-19,7288,7056,232,3.2
Monroe County,MO,Jun-19,3892,3715,177,4.5
Montgomery County,MO,Jun-19,5722,5529,193,3.4
Morgan County,MO,Jun-19,8457,8141,316,3.7
New Madrid County,MO,Jun-19,8259,7862,397,4.8
Newton County,MO,Jun-19,27288,26297,991,3.6
Nodaway County,MO,Jun-19,10758,10361,397,3.7
Oregon County,MO,Jun-19,3863,3694,169,4.4
Osage County,MO,Jun-19,7093,6914,179,2.5
Ozark County,MO,Jun-19,3513,3320,193,5.5
Pemiscot County,MO,Jun-19,6474,6106,368,5.7
Perry County,MO,Jun-19,10113,9828,285,2.8
Pettis County,MO,Jun-19,20879,20072,807,3.9
Phelps County,MO,Jun-19,19743,19057,686,3.5
Pike County,MO,Jun-19,7535,7248,287,3.8
Platte County,MO,Jun-19,59390,57811,1579,2.7
Polk County,MO,Jun-19,14483,13971,512,3.5
Pulaski County,MO,Jun-19,14781,14223,558,3.8
Putnam County,MO,Jun-19,2244,2166,78,3.5
Ralls County,MO,Jun-19,5658,5487,171,3
Randolph County,MO,Jun-19,10371,9962,409,3.9
