Zip Code,Zip Code Type,Zip Code Name,County
66002,Non-Unique,Atchison,Atchison
66006,Non-Unique,Baldwin City,Douglas
66007,Non-Unique,Basehor,Leavenworth
66008,Non-Unique,Bendena,Doniphan
66010,Non-Unique,Blue Mound,Linn
66012,Non-Unique,Bonner Springs,Leavenworth
66013,Non-Unique,Bucyrus,Miami
66014,Non-Unique,Centerville,Linn
66015,Non-Unique,Colony,Anderson
66016,Non-Unique,Cummings,Atchison
66017,Non-Unique,Denton,Doniphan
66018,Non-Unique,De Soto,Johnson
66019,PO Box,Clearview City,Johnson
66020,Non-Unique,Easton,Leavenworth
66021,Non-Unique,Edgerton,Johnson
66023,Non-Unique,Effingham,Atchison
66024,PO Box,Elwood,Doniphan
66025,Non-Unique,Eudora,Douglas
66026,Non-Unique,Fontana,Miami
66027,Non-Unique,Fort Leavenworth,Leavenworth
66030,Non-Unique,Gardner,Johnson
66031,Non-Unique,New Century,Johnson
66032,Non-Unique,Garnett,Anderson
66033,Non-Unique,Greeley,Anderson
66035,Non-Unique,Highland,Doniphan
66036,PO Box,Hillsdale,Miami
66039,Non-Unique,Kincaid,Anderson
66040,Non-Unique,La Cygne,Linn
66041,Non-Unique,Lancaster,Atchison
66042,Non-Unique,Lane,Franklin
66043,Non-Unique,Lansing,Leavenworth
66044,Non-Unique,Lawrence,Douglas
66045,Non-Unique,Lawrence,Douglas
66046,Non-Unique,Lawrence,Douglas
66047,Non-Unique,Lawrence,Douglas
66048,Non-Unique,Leavenworth,Leavenworth
66049,Non-Unique,Lawrence,Douglas
66050,Non-Unique,Lecompton,Douglas
66051,PO Box,Olathe,Johnson
66052,Non-Unique,Linwood,Leavenworth
66053,Non-Unique,Louisburg,Miami
66054,Non-Unique,McLouth,Jefferson
66056,Non-Unique,Mound City,Linn
66058,Non-Unique,Muscotah,Atchison
66060,Non-Unique,Nortonville,Jefferson
66061,Non-Unique,Olathe,Johnson
66062,Non-Unique,Olathe,Johnson
66063,PO Box,Olathe,Johnson
66064,Non-Unique,Osawatomie,Miami
66066,Non-Unique,Oskaloosa,Jefferson
66067,Non-Unique,Ottawa,Franklin
66070,Non-Unique,Ozawkie,Jefferson
66071,Non-Unique,Paola,Miami
66072,Non-Unique,Parker,Linn
66073,Non-Unique,Perry,Jefferson
66075,Non-Unique,Pleasanton,Linn
