State,County,Population,Poverty Count,Hispanic or Latino,White Alone,JobsReported
KS,Allen,13064.0,2141.0,395.0,12179.0,195
KS,Anderson,8210.0,1040.0,14.0,7855.0,116
KS,Atchison,16548.0,2567.0,449.0,15049.0,240
KS,Barber,4407.0,488.0,96.0,4253.0,167
KS,Barton,27808.0,3774.0,3777.0,25561.0,782
KS,Bourbon,15068.0,2817.0,326.0,14086.0,230
KS,Brown,10124.0,1898.0,312.0,8833.0,204
KS,Butler,65344.0,5408.0,2740.0,60856.0,897
KS,Chase,3153.0,417.0,51.0,3051.0,86
KS,Chautauqua,3499.0,525.0,92.0,3157.0,47
KS,Cherokee,22545.0,4235.0,453.0,20458.0,222
KS,Cheyenne,2681.0,297.0,155.0,2638.0,102
KS,Clark,2273.0,291.0,223.0,2091.0,85
KS,Clay,8420.0,1131.0,183.0,8120.0,264
KS,Cloud,9695.0,1455.0,291.0,9434.0,283
KS,Coffey,8444.0,784.0,195.0,8163.0,156
KS,Comanche,1905.0,118.0,77.0,1841.0,79
KS,Cowley,36152.0,5966.0,3399.0,31692.0,448
KS,Crawford,39841.0,7685.0,1851.0,36853.0,614
KS,Decatur,2958.0,284.0,33.0,2858.0,94
KS,Dickinson,14986.0,1402.0,530.0,14224.0,303
KS,Doniphan,7798.0,903.0,204.0,7064.0,95
KS,Douglas,115050.0,19894.0,6019.0,98088.0,1986
KS,Edwards,3033.0,360.0,546.0,2881.0,136
KS,Elk,2516.0,488.0,80.0,2388.0,44
KS,Ellis,28558.0,4457.0,1418.0,26822.0,776
KS,Ellsworth,5895.0,370.0,286.0,5363.0,132
KS,Finney,39599.0,6191.0,17918.0,32863.0,1005
KS,Ford,33744.0,5099.0,17631.0,29663.0,601
KS,Franklin,26636.0,3242.0,958.0,24993.0,335
KS,Geary,43991.0,5517.0,5999.0,30720.0,298
KS,Gove,3040.0,334.0,26.0,2984.0,178
KS,Graham,2395.0,256.0,67.0,2202.0,82
KS,Grant,8039.0,1025.0,3522.0,6941.0,180
KS,Gray,3944.0,304.0,390.0,3813.0,201
KS,Greeley,1202.0,64.0,177.0,1146.0,76
KS,Greenwood,6999.0,1158.0,229.0,6759.0,165
KS,Hamilton,2645.0,295.0,758.0,2431.0,101
KS,Harper,5948.0,953.0,322.0,5720.0,149
KS,Harvey,36896.0,4455.0,3786.0,34291.0,591
KS,Haskell,2108.0,162.0,521.0,1802.0,100
KS,Hodgeman,1850.0,96.0,192.0,1828.0,81
KS,Jackson,13405.0,1240.0,503.0,11627.0,233
KS,Jefferson,19121.0,1439.0,366.0,18478.0,248
KS,Jewell,2931.0,376.0,65.0,2845.0,97
KS,Johnson,546757.0,35267.0,39766.0,476245.0,11434
KS,Kearny,3786.0,382.0,1146.0,3334.0,127
KS,Kingman,7226.0,991.0,220.0,7014.0,184
KS,Kiowa,2635.0,326.0,133.0,2533.0,105
KS,Labette,19504.0,3010.0,888.0,17103.0,220
KS,Lane,1619.0,163.0,107.0,1517.0,83
KS,Leavenworth,82877.0,8236.0,5390.0,69490.0,845
KS,Lincoln,3005.0,374.0,70.0,2930.0,116
KS,Linn,9389.0,1328.0,194.0,9134.0,144
KS,Logan,2948.0,349.0,20.0,2760.0,134
KS,Lyon,33893.0,6816.0,6862.0,30006.0,457
KS,Marion,11778.0,1306.0,315.0,11293.0,292
KS,Marshall,10226.0,1215.0,210.0,9944.0,417
KS,McPherson,30568.0,2338.0,1104.0,29259.0,795
KS,Meade,4485.0,400.0,650.0,4012.0,159
KS,Miami,37890.0,3136.0,918.0,36368.0,463
KS,Mitchell,6631.0,607.0,152.0,6530.0,273
KS,Montgomery,35383.0,6549.0,1926.0,29888.0,418
KS,Morris,8762.0,911.0,472.0,8392.0,170
KS,Morton,3311.0,394.0,654.0,2733.0,89
KS,Nemaha,10072.0,1098.0,140.0,9819.0,395
KS,Neosho,16375.0,3133.0,720.0,15624.0,280
KS,Ness,3169.0,385.0,250.0,3092.0,169
KS,Norton,5699.0,464.0,160.0,5240.0,161
KS,Osage,14130.0,1574.0,296.0,13527.0,155
KS,Osborne,3842.0,606.0,51.0,3764.0,127
KS,Ottawa,7603.0,684.0,191.0,7401.0,146
KS,Pawnee,6942.0,384.0,476.0,6304.0,139
KS,Phillips,5486.0,543.0,137.0,5206.0,245
KS,Pottawatomie,19970.0,1702.0,826.0,18887.0,367
KS,Pratt,9727.0,1062.0,619.0,9237.0,275
KS,Rawlins,2372.0,287.0,65.0,2323.0,96
KS,Reno,63676.0,7526.0,5289.0,58108.0,1048
KS,Republic,4771.0,595.0,61.0,4650.0,196
KS,Rice,10350.0,1474.0,1055.0,9503.0,238
KS,Riley,67718.0,13992.0,4266.0,58381.0,1139
KS,Rooks,5240.0,922.0,29.0,5031.0,167
KS,Rush,3244.0,390.0,29.0,3142.0,112
KS,Russell,7222.0,1043.0,135.0,6944.0,223
KS,Saline,55111.0,9397.0,5640.0,49082.0,919
KS,Scott,5402.0,546.0,765.0,5149.0,312
KS,Sedgwick,493199.0,75250.0,65647.0,388059.0,7679
KS,Seward,24792.0,4631.0,13878.0,16019.0,421
KS,Shawnee,178175.0,29141.0,19722.0,146306.0,2375
KS,Sheridan,2258.0,229.0,92.0,2126.0,127
KS,Sherman,6002.0,991.0,691.0,5644.0,205
KS,Smith,3772.0,563.0,40.0,3649.0,196
KS,Stafford,4237.0,645.0,553.0,4026.0,176
KS,Stanton,2252.0,106.0,901.0,1588.0,91
KS,Stevens,5620.0,831.0,1882.0,4156.0,129
KS,Sumner,30303.0,3296.0,1490.0,28485.0,444
KS,Thomas,7883.0,866.0,417.0,7618.0,241
KS,Trego,2920.0,188.0,58.0,2807.0,104
KS,Wabaunsee,6610.0,415.0,215.0,6348.0,83
KS,Wallace,1656.0,159.0,128.0,1636.0,85
KS,Washington,5924.0,606.0,160.0,5786.0,235
KS,Wichita,1884.0,217.0,596.0,1791.0,140
KS,Wilson,8662.0,1449.0,233.0,8270.0,143
KS,Woodson,3418.0,622.0,76.0,3274.0,81
KS,Wyandotte,151021.0,36739.0,41337.0,91781.0,1397
MO,Adair,25376.0,5250.0,562.0,23940.0,238
MO,Andrew,24851.0,2633.0,585.0,23864.0,243
MO,Atchison,5444.0,627.0,60.0,5321.0,149
MO,Audrain,31099.0,4278.0,709.0,28266.0,400
MO,Barry,49835.0,9171.0,4676.0,45494.0,696
MO,Barton,11978.0,2313.0,222.0,11355.0,201
MO,Bates,15995.0,3068.0,222.0,15392.0,251
MO,Benton,19222.0,3687.0,307.0,18640.0,276
MO,Bollinger,11140.0,2356.0,107.0,10900.0,118
MO,Boone,159816.0,30599.0,5168.0,130782.0,2421
MO,Buchanan,80456.0,13234.0,4634.0,71800.0,886
MO,Butler,41691.0,8730.0,707.0,37717.0,847
MO,Caldwell,9595.0,1374.0,169.0,9199.0,104
MO,Callaway,42438.0,5203.0,683.0,39093.0,399
MO,Camden,44434.0,7412.0,1076.0,43046.0,1109
MO,Cape Girardeau,75100.0,11381.0,1579.0,66935.0,1518
MO,Carroll,9613.0,1320.0,118.0,9234.0,170
MO,Carter,7120.0,1384.0,90.0,6884.0,102
MO,Cass,97569.0,8963.0,3903.0,90009.0,1324
