Zip Code,Zip Code Type,Zip Code Name,County
63005,Non-Unique,Chesterfield,Saint Louis
63006,PO Box,Chesterfield,Saint Louis
63010,Non-Unique,Arnold,Jefferson
63011,Non-Unique,Ballwin,Saint Louis
63012,Non-Unique,Barnhart,Jefferson
63013,Non-Unique,Beaufort,Franklin
63014,Non-Unique,Berger,Franklin
63015,Non-Unique,Catawissa,Franklin
63016,Non-Unique,Cedar Hill,Jefferson
63017,Non-Unique,Chesterfield,Saint Louis
63019,Non-Unique,Crystal City,Jefferson
63020,Non-Unique,De Soto,Jefferson
63021,Non-Unique,Ballwin,Saint Louis
63022,PO Box,Ballwin,Saint Louis
63023,Non-Unique,Dittmer,Jefferson
63024,PO Box,Ballwin,Saint Louis
63025,Non-Unique,Eureka,Saint Louis
63026,Non-Unique,Fenton,Saint Louis
63028,Non-Unique,Festus,Jefferson
63030,Non-Unique,Fletcher,Washington
63031,Non-Unique,Florissant,Saint Louis
63032,PO Box,Florissant,Saint Louis
63033,Non-Unique,Florissant,Saint Louis
63034,Non-Unique,Florissant,Saint Louis
63036,Non-Unique,French Village,Saint Francois
63037,Non-Unique,Gerald,Franklin
63038,Non-Unique,Glencoe,Saint Louis
63039,Non-Unique,Gray Summit,Franklin
63040,Non-Unique,Grover,Saint Louis
63041,Non-Unique,Grubville,Franklin
63042,Non-Unique,Hazelwood,Saint Louis
63043,Non-Unique,Maryland Heights,Saint Louis
63044,Non-Unique,Bridgeton,Saint Louis
63045,Non-Unique,Earth City,Saint Louis
63047,PO Box,Hematite,Jefferson
63048,Non-Unique,Herculaneum,Jefferson
63049,Non-Unique,High Ridge,Jefferson
63050,Non-Unique,Hillsboro,Jefferson
63051,Non-Unique,House Springs,Jefferson
63052,Non-Unique,Imperial,Jefferson
63053,PO Box,Kimmswick,Jefferson
63055,Non-Unique,Labadie,Franklin
63056,Non-Unique,Leslie,Franklin
63057,PO Box,Liguori,Jefferson
63060,Non-Unique,Lonedell,Franklin
63061,Non-Unique,Luebbering,Franklin
63065,PO Box,Mapaville,Jefferson
63066,PO Box,Morse Mill,Jefferson
63068,Non-Unique,New Haven,Franklin
63069,Non-Unique,Pacific,Franklin
63070,Non-Unique,Pevely,Jefferson
63071,Non-Unique,Richwoods,Washington
63072,Non-Unique,Robertsville,Franklin
63073,PO Box,Saint Albans,Franklin
63074,Non-Unique,Saint Ann,Saint Louis
63077,Non-Unique,Saint Clair,Franklin
63079,PO Box,Stanton,Franklin
63080,Non-Unique,Sullivan,Franklin
63084,Non-Unique,Union,Franklin
63087,Non-Unique,Valles Mines,Saint Francois
63088,Non-Unique,Valley Park,Saint Louis
63089,Non-Unique,Villa Ridge,Franklin
63090,Non-Unique,Washington,Franklin
63091,Non-Unique,Rosebud,Gasconade
63099,Unique,Fenton,Saint Louis
63101,Non-Unique,Saint Louis,Saint Louis City
63102,Non-Unique,Saint Louis,Saint Louis City
63103,Non-Unique,Saint Louis,Saint Louis City
63104,Non-Unique,Saint Louis,Saint Louis City
63105,Non-Unique,Saint Louis,Saint Louis
63106,Non-Unique,Saint Louis,Saint Louis City
63107,Non-Unique,Saint Louis,Saint Louis City
63108,Non-Unique,Saint Louis,Saint Louis City
63109,Non-Unique,Saint Louis,Saint Louis City
63110,Non-Unique,Saint Louis,Saint Louis City
63111,Non-Unique,Saint Louis,Saint Louis City
63112,Non-Unique,Saint Louis,Saint Louis City
63113,Non-Unique,Saint Louis,Saint Louis City
63114,Non-Unique,Saint Louis,Saint Louis
63115,Non-Unique,Saint Louis,Saint Louis City
63116,Non-Unique,Saint Louis,Saint Louis City
63117,Non-Unique,Saint Louis,Saint Louis
63118,Non-Unique,Saint Louis,Saint Louis City
63119,Non-Unique,Saint Louis,Saint Louis
63120,Non-Unique,Saint Louis,Saint Louis City
63121,Non-Unique,Saint Louis,Saint Louis
63122,Non-Unique,Saint Louis,Saint Louis
63123,Non-Unique,Saint Louis,Saint Louis
63124,Non-Unique,Saint Louis,Saint Louis
63125,Non-Unique,Saint Louis,Saint Louis
63126,Non-Unique,Saint Louis,Saint Louis
63127,Non-Unique,Saint Louis,Saint Louis
63128,Non-Unique,Saint Louis,Saint Louis
63129,Non-Unique,Saint Louis,Saint Louis
63130,Non-Unique,Saint Louis,Saint Louis
63131,Non-Unique,Saint Louis,Saint Louis
63132,Non-Unique,Saint Louis,Saint Louis
63133,Non-Unique,Saint Louis,Saint Louis
63134,Non-Unique,Saint Louis,Saint Louis
63135,Non-Unique,Saint Louis,Saint Louis
63136,Non-Unique,Saint Louis,Saint Louis
63137,Non-Unique,Saint Louis,Saint Louis
63138,Non-Unique,Saint Louis,Saint Louis
63139,Non-Unique,Saint Louis,Saint Louis City
63140,Non-Unique,Saint Louis,Saint Louis
63141,Non-Unique,Saint Louis,Saint Louis
63143,Non-Unique,Saint Louis,Saint Louis
63144,Non-Unique,Saint Louis,Saint Louis
63145,Non-Unique,Saint Louis,Saint Louis
63146,Non-Unique,Saint Louis,Saint Louis
63147,Non-Unique,Saint Louis,Saint Louis City
63150,Unique,Saint Louis,Saint Louis City
63151,PO Box,Saint Louis,Saint Louis
63155,Non-Unique,Saint Louis,Saint Louis City
63156,PO Box,Saint Louis,Saint Louis City
63157,PO Box,Saint Louis,Saint Louis City
63158,PO Box,Saint Louis,Saint Louis City
63160,Unique,Saint Louis,Saint Louis City
63163,PO Box,Saint Louis,Saint Louis City
63164,Unique,Saint Louis,Saint Louis City
63166,PO Box,Saint Louis,Saint Louis City
63167,Unique,Saint Louis,Saint Louis City
63169,PO Box,Saint Louis,Saint Louis City
63171,Unique,Saint Louis,Saint Louis City
63177,PO Box,Saint Louis,Saint Louis City
63178,PO Box,Saint Louis,Saint Louis City
63179,PO Box,Saint Louis,Saint Louis City
63180,Unique,Saint Louis,Saint Louis City
63182,Unique,Saint Louis,Saint Louis City
63188,PO Box,Saint Louis,Saint Louis City
63195,Unique,Saint Louis,Saint Louis City
63197,Unique,Saint Louis,Saint Louis City
63199,Unique,Saint Louis,Saint Louis City
63301,Non-Unique,Saint Charles,Saint Charles
63302,PO Box,Saint Charles,Saint Charles
63303,Non-Unique,Saint Charles,Saint Charles
63304,Non-Unique,Saint Charles,Saint Charles
63330,Non-Unique,Annada,Pike
63332,Non-Unique,Augusta,Saint Charles
63333,Non-Unique,Bellflower,Montgomery
63334,Non-Unique,Bowling Green,Pike
63336,Non-Unique,Clarksville,Pike
63338,PO Box,Cottleville,Saint Charles
63339,Non-Unique,Curryville,Pike
63341,Non-Unique,Defiance,Saint Charles
63342,PO Box,Dutzow,Warren
63343,Non-Unique,Elsberry,Lincoln
63344,Non-Unique,Eolia,Lincoln
63345,Non-Unique,Farber,Audrain
63346,PO Box,Flinthill,Saint Charles
63347,Non-Unique,Foley,Lincoln
63348,Non-Unique,Foristell,Saint Charles
63349,Non-Unique,Hawk Point,Lincoln
63350,Non-Unique,High Hill,Montgomery
63351,Non-Unique,Jonesburg,Montgomery
63352,Non-Unique,Laddonia,Audrain
63353,Non-Unique,Louisiana,Pike
63357,Non-Unique,Marthasville,Warren
63359,Non-Unique,Middletown,Pike
63361,Non-Unique,Montgomery City,Montgomery
63362,Non-Unique,Moscow Mills,Lincoln
63363,Non-Unique,New Florence,Montgomery
63365,PO Box,New Melle,Saint Charles
63366,Non-Unique,O'Fallon,Saint Charles
63367,Non-Unique,Lake Saint Louis,Saint Charles
63368,Non-Unique,O'Fallon,Saint Charles
63369,Non-Unique,Old Monroe,Lincoln
63370,Non-Unique,Olney,Lincoln
63373,Non-Unique,Portage Des Sioux,Saint Charles
63376,Non-Unique,Saint Peters,Saint Charles
63377,Non-Unique,Silex,Lincoln
63378,PO Box,Treloar,Warren
63379,Non-Unique,Troy,Lincoln
63380,Non-Unique,Truesdale,Warren
63381,Non-Unique,Truxton,Warren
63382,Non-Unique,Vandalia,Audrain
63383,Non-Unique,Warrenton,Warren
63384,Non-Unique,Wellsville,Montgomery
63385,Non-Unique,Wentzville,Saint Charles
63386,Non-Unique,West Alton,Saint Charles
63387,PO Box,Whiteside,Lincoln
63388,Non-Unique,Williamsburg,Callaway
63389,Non-Unique,Winfield,Lincoln
63390,Non-Unique,Wright City,Warren
63401,Non-Unique,Hannibal,Marion
63430,Non-Unique,Alexandria,Clark
63431,Non-Unique,Anabel,Macon
63432,Non-Unique,Arbela,Scotland
63433,Non-Unique,Ashburn,Pike
63434,Non-Unique,Bethel,Shelby
63435,Non-Unique,Canton,Lewis
63436,Non-Unique,Center,Ralls
63437,Non-Unique,Clarence,Shelby
63438,Non-Unique,Durham,Lewis
63439,Non-Unique,Emden,Shelby
63440,Non-Unique,Ewing,Lewis
63441,Non-Unique,Frankford,Pike
63442,Non-Unique,Granger,Scotland
63443,Non-Unique,Hunnewell,Shelby
63445,Non-Unique,Kahoka,Clark
63446,Non-Unique,Knox City,Knox
63447,Non-Unique,La Belle,Lewis
63448,Non-Unique,La Grange,Lewis
63450,Non-Unique,Lentner,Shelby
63451,Non-Unique,Leonard,Shelby
63452,Non-Unique,Lewistown,Lewis
